company_name,company_website,words_found_master_str,keyword_careers_found_and_clicked,keyword_benefits_found_on_page,keyword_category_found_on_page,match_health_and_wellness,match_work_from_home,match_learning_and_development
stord,https://www.stord.com,",[[[-keywords_careers_href_1: https://www.stord.com/careers[[[-keyword_category_found_on_page: fitness[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: wellness[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
chainalysis,https://chainalysis.com,",",False,False,False,False,False,False
skyspecs,https://skyspecs.com,",[[[-keywords_careers_href_1: https://skyspecs.com/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: monitor",True,False,True,False,False,False
legacy,https://www.givelegacy.com,",",False,False,False,False,False,False
n3twork,https://www.n3twork.com,",[[[-keywords_careers_href_1: https://www.n3twork.com/careers/[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - We are a fully remote, distributed company. We believe that our employees should be able to work anywhere in the world and in a way that fits with their lifestyle. We provide stipends and support to craft a remote setup that allows you to thrive.[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: remote[[[-scrape_benefit_category_proof: word: remote | phrase: master_str_benefit_html_found: - We are a fully remote, distributed company. We believe that our employees should be able to work anywhere in the world and in a way that fits with their lifestyle. We provide stipends and support to craft a remote setup that allows you to thrive.",True,True,True,False,True,False
semperis,https://www.semperis.com,",[[[-keywords_careers_href_1: https://jobs.jobvite.com/careers/semperis[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
regrow_ag,https://regrow.ag,",[[[-keywords_careers_href_1: https://www.regrow.ag/careers[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
riveryio,https://rivery.io,",[[[-keywords_careers_href_1: https://rivery.io/kits/job-trigger-for-dbt-cloud/",True,False,False,False,False,False
clozd,https://www.clozd.com,",[[[-keywords_careers_href_1: https://www.clozd.com/careers[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
lets_do_this,https://www.letsdothis.com,",[[[-keywords_careers_href_1: https://careers.letsdothis.com/[[[-keyword_category_found_on_page: fitness[[[-keyword_category_found_on_page: learning",True,False,True,False,False,False
arduino,https://www.arduino.cc,",[[[-keywords_careers_href_1: https://careers.arduino.cc/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education",True,False,True,False,False,False
sesame,https://sesamecare.com,",[[[-keywords_careers_href_1: https://jobs.lever.co/sesame/[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
dealhubio,https://dealhub.io,",[[[-keywords_careers_href_1: https://dealhub.io/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: professional development",True,False,True,False,False,False
fountain,https://get.fountain.com,",[[[-keywords_careers_href_1: https://www.fountain.com/careers-fountain[[[-keyword_benefits_found_on_page: reimbursed[[[-keyword_benefits_found_on_page: reimbursement[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - h3>stipends and reimbursement<h3>stipends and reimbursement<p>to support your remote office, we offer reimbursement for any work equipment, and monthly phone and wi-fi stipends.<p>to support your remote office, we offer reimbursement for any work equipment, and monthly phone and wi-fi stipends.<h3>wellness stipends<p>we want employees to take care of themselves, so we offer a monthly stipend for employees to spend on anything that brings them joy.<p>get reimbursed for bettering yourself and your contributions to fountain.<[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: remote[[[-scrape_benefit_category_proof: word: wellness | phrase: master_str_benefit_html_found: - h3>stipends and reimbursement<h3>stipends and reimbursement<p>to support your remote office, we offer reimbursement for any work equipment, and monthly phone and wi-fi stipends.<p>to support your remote office, we offer reimbursement for any work equipment, and monthly phone and wi-fi stipends.<h3>wellness stipends<p>we want employees to take care of themselves, so we offer a monthly stipend for employees to spend on anything that brings them joy.<p>get reimbursed for bettering yourself and your contributions to fountain.<[[[-scrape_benefit_category_proof: word: remote | phrase: master_str_benefit_html_found: - h3>stipends and reimbursement<h3>stipends and reimbursement<p>to support your remote office, we offer reimbursement for any work equipment, and monthly phone and wi-fi stipends.<p>to support your remote office, we offer reimbursement for any work equipment, and monthly phone and wi-fi stipends.<h3>wellness stipends<p>we want employees to take care of themselves, so we offer a monthly stipend for employees to spend on anything that brings them joy.<p>get reimbursed for bettering yourself and your contributions to fountain.<",True,True,True,True,True,False
postscript,https://www.postscript.io,",[[[-keywords_careers_href_1: https://postscript.io/careers[[[-keyword_category_found_on_page: fitness[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: wellness[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
openly,https://openly.com,",[[[-keywords_careers_href_1: https://openly.com/careers[[[-keyword_benefits_found_on_page: allowance[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - p class=""leading-loose font-light"">
    day 1, you'll receive a new laptop, a $1,500 allowance to spend on setting up your home workplace, and a monthly internet stipend.
  <p class=""leading-loose font-light"">
    day 1, you'll receive a new laptop, a $1,500 allowance to spend on setting up your home workplace, and a monthly internet stipend.
  <[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: remote[[[-scrape_benefit_category_proof: word: internet | phrase: master_str_benefit_html_found: - p class=""leading-loose font-light"">
    day 1, you'll receive a new laptop, a $1,500 allowance to spend on setting up your home workplace, and a monthly internet stipend.
  <p class=""leading-loose font-light"">
    day 1, you'll receive a new laptop, a $1,500 allowance to spend on setting up your home workplace, and a monthly internet stipend.
  <",True,True,True,False,True,False
logrocket,https://logrocket.com,",[[[-keywords_careers_href_1: https://logrocket.com/careers[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - We know how important career growth is, so we offer a yearly $500 stipend to help support continued development throughout your journey.[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: remote",True,True,True,False,False,False
rivet,https://www.rivethealth.com,",[[[-keywords_careers_href_1: https://www.rivethealth.com/careers[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
courier,https://www.courier.com,",[[[-keywords_careers_href_1: https://jobs.lever.co/trycourier[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
gloat,https://www.gloat.com,",[[[-keywords_careers_href_1: https://gloat.com/events/reimagining-employee-engagement-how-seagates-workforce-agility-platform-paves-the-way-for-more-fulfilling-careers/[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
tomorrow_health,https://home.tomorrowhealth.com,",[[[-keywords_careers_href_1: https://home.tomorrowhealth.com/careers[[[-keyword_category_found_on_page: learning",True,False,True,False,False,False
